ID,nest_name,nest_status,tree_species,country,canton,elev_swiss_maps,coordX,coordY,municipality,location
722,Riedstätt_Mittlisried_20,nest gone,Abies alba (Silver fir),Switzerland,BE,1006,7.31981582,46.77871683,Riedstätt,Mittlisried
723,France_Jujurieux_20,present,NA,France,Ain,297.9,5.395632036,46.04301131,France,Jujurieux
724,Alterswil_Mediwil_20,present,Picea abies (Norwegian Spruce),Switzerland,FR,721.4,7.250494832,46.7903222,Alterswil,Mediwil
725,Thörishaus_Grabe,present,Abies alba (Silver fir),Switzerland,FR,655.8,7.37255226,46.88722738,Thörishaus,Grabe
726,St. Antoni_Menzishus_20,active,Picea abies (Norwegian Spruce),Switzerland,FR,657.8,7.261431663,46.83497275,St. Antoni,Menzishus
727,Uebestorf_Chürschi_20,active,Abies alba (Silver fir),Switzerland,FR,756.2,7.302117811,46.84909972,Uebestorf,Chürschi
728,Marly_Copy,present,Fagus sylvatica (Beech),Switzerland,FR,651.1,7.14953439,46.76895078,Marly,Copy
729,Marly_Les_Fontanettes_20,present,Fagus sylvatica (Beech),Switzerland,FR,657,7.157202546,46.77027277,Marly,Les
730,Thörishaus_Risele,present,Abies alba (Silver fir),Switzerland,BE,621.8,7.360584441,46.8880727,Thörishaus,Risele
731,Ueberstorf_Salzmatt,present,Picea abies (Norwegian Spruce),Switzerland,BE,721.3,7.325251147,46.84905225,Ueberstorf,Salzmatt
732,Ueberstorf_Breiteli,present,Fagus sylvatica (Beech),Switzerland,FR,665.3,7.303987855,46.86348696,Ueberstorf,Breiteli
733,Alterswil_Zumholz,nest gone,Abies alba (Silver fir),Switzerland,FR,745.1,7.255094834,46.80491234,Alterswil,Zumholz
734,Düdingen_Obere_stwolfgangholz,present,Pinus sylvestris (Scots pine),Switzerland,FR,672.2,7.186375912,46.82744721,Düdingen,Obere
735,Ueberstorf_lenglod_21,nest gone,Fagus sylvatica (Beech),Switzerland,FR,664.2,7.339654308,46.880603,Ueberstorf,lenglod
736,Schmitten_Ettelberg_21,active,Fagus sylvatica (Beech),Switzerland,FR,675.6,7.265548548,46.85044774,Schmitten,Ettelberg
737,Ueberstorf_Oberholzwald_21,present,Fagus sylvatica (Beech),Switzerland,FR,758.7,7.342735126,46.85781116,Ueberstorf,Oberholzwald
738,Ueberstorf_Rüti,present,Quercus robur (English Oak),Switzerland,BE,733.8,7.323638114,46.85004715,Ueberstorf,Rüti
739,Tafers_Brunnenbergrain_21,present,Abies alba (Silver fir),Switzerland,FR,732.9,7.224366011,46.8112867,Tafers,Brunnenbergrain
740,Mamishaus_Vordermutten,active_24,Quercus robur (English Oak),Switzerland,BE,799.7,7.37705682,46.80739482,Mamishaus,Vordermutten
741,Alterswil_Breita,nest gone,Fagus sylvatica (Beech),Switzerland,FR,744.7,7.248370593,46.79566815,Alterswil,Breita
742,Wunnewil_Golf_21,nest gone,Fagus sylvatica (Beech),Switzerland,FR,580.2,7.296434983,46.87558487,Wunnewil,Golf
743,Pensier_La_Gravière,present,Fagus sylvatica (Beech),Switzerland,FR,577.7,7.139974136,46.84845491,Pensier,La
744,Alterswil_Schwenihubel,nest gone,Quercus robur (English Oak),Switzerland,FR,843.9,7.301969999,46.8028339,Alterswil,Schwenihubel
